Rule   (Support, Confidence) 
Gene YDL025C high -> Gene YLR312C high  (4.6667%, 100%)
Gene YLR312C high -> Gene YDL025C high  (4.6667%, 24.5614%)
Gene YDL025C high -> Gene YJR155W high  (4.3333%, 92.8571%)
Gene YJR155W high -> Gene YDL025C high  (4.3333%, 44.8276%)
Gene YDL025C high -> Gene YGR043C high  (4.3333%, 92.8571%)
Gene YGR043C high -> Gene YDL025C high  (4.3333%, 22.4138%)
Gene YDL025C high -> Gene YGL117W high  (4.3333%, 92.8571%)
Gene YDL025C high -> Gene YIR039C high  (4.3333%, 92.8571%)
Gene YIR039C high -> Gene YDL025C high  (4.3333%, 34.2105%)
Gene YDL025C high -> Gene YHR071W high  (4.3333%, 92.8571%)
Gene YDL025C high -> Gene YBR147W high  (4.3333%, 92.8571%)
Gene YBR147W high -> Gene YDL025C high  (4.3333%, 22.4138%)
Gene YDL025C high -> Gene YNL036W high  (4%, 85.7143%)
Gene YDL025C high -> Gene YBR297W high  (4%, 85.7143%)
Gene YBR297W high -> Gene YDL025C high  (4%, 31.5789%)
Gene YDL025C high -> Gene YNR058W high  (4%, 85.7143%)
Gene YNR058W high -> Gene YDL025C high  (4%, 32.4324%)
Gene YDL025C high -> Gene YBR105C high  (4%, 85.7143%)
Gene YBR105C high -> Gene YDL025C high  (4%, 23.0769%)
Gene YDL025C high -> Gene YGL180W high  (4%, 85.7143%)
Gene YGL180W high -> Gene YDL025C high  (4%, 28.5714%)
Gene YDL025C high -> Gene YKL218C high  (4%, 85.7143%)
Gene YKL218C high -> Gene YDL025C high  (4%, 20.339%)
Gene YDL025C high -> Gene YIR017C high  (4%, 85.7143%)
Gene YIR017C high -> Gene YDL025C high  (4%, 52.1739%)
Gene YDL025C high -> Gene YPR015C high  (4%, 85.7143%)
Gene YPR015C high -> Gene YDL025C high  (4%, 25.5319%)
Gene YDL025C high -> Gene YJL213W high  (4%, 85.7143%)
Gene YJL213W high -> Gene YDL025C high  (4%, 44.4444%)
Gene YDL025C high -> Gene YOR289W high  (4%, 85.7143%)
Gene YOR289W high -> Gene YDL025C high  (4%, 21.8182%)
Gene YDL025C high -> Gene YIL165C high  (3.6667%, 78.5714%)
Gene YIL165C high -> Gene YDL025C high  (3.6667%, 29.7297%)
Gene YDL025C high -> Gene YOR203W high  (3.6667%, 78.5714%)
Gene YOR203W high -> Gene YDL025C high  (3.6667%, 27.5%)
Gene YDL025C high -> Gene YBR035C high  (3.6667%, 78.5714%)
Gene YBR035C high -> Gene YDL025C high  (3.6667%, 45.8333%)
Gene YDL025C high -> Gene YDR019C high  (3.6667%, 78.5714%)
Gene YDL025C high -> Gene YIL116W high  (3.6667%, 78.5714%)
Gene YDL025C high -> Gene YOL052C-A high  (3.6667%, 78.5714%)
Gene YOL052C-A high -> Gene YDL025C high  (3.6667%, 37.931%)
Gene YDL025C high -> Gene YER175C high  (3.6667%, 78.5714%)
Gene YDL025C high -> Gene YMR095C high  (3.6667%, 78.5714%)
Gene YDL025C high -> Gene YMR173W high  (3.6667%, 78.5714%)
Gene YMR173W high -> Gene YDL025C high  (3.6667%, 27.5%)
Gene YDL025C high -> Gene YGL259W high  (3.6667%, 78.5714%)
Gene YGL259W high -> Gene YDL025C high  (3.6667%, 42.3077%)
Gene YDL025C high -> Gene YBR072W high  (3.6667%, 78.5714%)
Gene YDL025C high -> Gene YGL184C high  (3.6667%, 78.5714%)
Gene YGL184C high -> Gene YDL025C high  (3.6667%, 27.5%)
Gene YDL025C high -> Gene YHL044W high  (3.6667%, 78.5714%)
Gene YHL044W high -> Gene YDL025C high  (3.6667%, 78.5714%)
Gene YDL025C high -> Gene YER069W high  (3.6667%, 78.5714%)
Gene YDL025C high -> Gene YMR062C high  (3.6667%, 78.5714%)
Gene YDL025C high -> Gene YIL117C high  (3.6667%, 78.5714%)
Gene YDL025C high -> Gene YMR191W high  (3.6667%, 78.5714%)
Gene YMR191W high -> Gene YDL025C high  (3.6667%, 37.931%)
Gene YDL025C high -> Gene YOR130C high  (3.6667%, 78.5714%)
Gene YOR130C high -> Gene YDL025C high  (3.6667%, 30.5556%)
Gene YDL025C high -> Gene YHL021C high  (3.6667%, 78.5714%)
Gene YHL021C high -> Gene YDL025C high  (3.6667%, 36.6667%)
Gene YDL025C high -> Gene YPL135W high  (3.6667%, 78.5714%)
Gene YPL135W high -> Gene YDL025C high  (3.6667%, 22%)
Gene YDL025C high -> Gene YKL211C high  (3.3333%, 71.4286%)
Gene YKL211C high -> Gene YDL025C high  (3.3333%, 38.4615%)
Gene YDL025C high -> Gene YNL125C high  (3.3333%, 71.4286%)
Gene YNL125C high -> Gene YDL025C high  (3.3333%, 41.6667%)
Gene YDL025C high -> Gene YBR296C high  (3.3333%, 71.4286%)
Gene YDL025C high -> Gene YML128C high  (3.3333%, 71.4286%)
Gene YDL025C high -> Gene YHR018C high  (3.3333%, 71.4286%)
Gene YDL025C high -> Gene YDL198C high  (3.3333%, 71.4286%)
Gene YDL198C high -> Gene YDL025C high  (3.3333%, 23.8095%)
Gene YDL025C high -> Gene YHR138C high  (3.3333%, 71.4286%)
Gene YHR138C high -> Gene YDL025C high  (3.3333%, 25.641%)
Gene YDL025C high -> Gene YGR288W high  (3.3333%, 71.4286%)
Gene YGR288W high -> Gene YDL025C high  (3.3333%, 66.6667%)
Gene YDL025C high -> Gene YFR030W high  (3.3333%, 71.4286%)
Gene YFR030W high -> Gene YDL025C high  (3.3333%, 23.2558%)
Gene YDL025C high -> Gene YGR065C high  (3.3333%, 71.4286%)
Gene YGR065C high -> Gene YDL025C high  (3.3333%, 38.4615%)
Gene YDL025C high -> Gene YDR070C high  (3.3333%, 71.4286%)
Gene YDR070C high -> Gene YDL025C high  (3.3333%, 26.3158%)
Gene YDL025C high -> Gene YHR162W high  (3.3333%, 71.4286%)
Gene YHR162W high -> Gene YDL025C high  (3.3333%, 35.7143%)
Gene YDL025C high -> Gene YPL188W high  (3.3333%, 71.4286%)
Gene YPL188W high -> Gene YDL025C high  (3.3333%, 52.6316%)
Gene YDL025C high -> Gene YBR256C high  (3.3333%, 71.4286%)
Gene YDL025C high -> Gene YBR145W high  (3.3333%, 71.4286%)
Gene YBR145W high -> Gene YDL025C high  (3.3333%, 23.2558%)
Gene YDL025C high -> Gene YLR092W high  (3.3333%, 71.4286%)
Gene YLR092W high -> Gene YDL025C high  (3.3333%, 34.4828%)
Gene YDL025C high -> Gene YNL276C high  (3.3333%, 71.4286%)
Gene YNL276C high -> Gene YDL025C high  (3.3333%, 52.6316%)
Gene YDL025C high -> Gene YJR109C high  (3.3333%, 71.4286%)
Gene YDL025C high -> Gene YDL182W high  (3.3333%, 71.4286%)
Gene YDL182W high -> Gene YDL025C high  (3.3333%, 22.2222%)
Gene YDL025C high -> Gene YER150W high  (3.3333%, 71.4286%)
Gene YER150W high -> Gene YDL025C high  (3.3333%, 21.2766%)
Gene YDL025C high -> Gene YGL224C high  (3.3333%, 71.4286%)
Gene YGL224C high -> Gene YDL025C high  (3.3333%, 47.619%)
Gene YDL025C high -> Gene YDR001C high  (3.3333%, 71.4286%)
Gene YDR001C high -> Gene YDL025C high  (3.3333%, 28.5714%)
Gene YDL025C high -> Gene YDL170W high  (3.3333%, 71.4286%)
Gene YDL170W high -> Gene YDL025C high  (3.3333%, 30.303%)
Gene YDL025C high -> Gene YOR202W high  (3.3333%, 71.4286%)
Gene YOR202W high -> Gene YDL025C high  (3.3333%, 23.8095%)
Gene YDL025C high -> Gene YJL200C high  (3%, 64.2857%)
Gene YJL200C high -> Gene YDL025C high  (3%, 31.0345%)
Gene YDL025C high -> Gene YLR356W high  (3%, 64.2857%)
Gene YLR356W high -> Gene YDL025C high  (3%, 33.3333%)
Gene YDL025C high -> Gene YHR209W high  (3%, 64.2857%)
Gene YHR209W high -> Gene YDL025C high  (3%, 24.3243%)
Gene YDL025C high -> Gene YER079W high  (3%, 64.2857%)
Gene YER079W high -> Gene YDL025C high  (3%, 47.3684%)
Gene YDL025C high -> Gene YDR530C high  (3%, 64.2857%)
Gene YDR530C high -> Gene YDL025C high  (3%, 56.25%)
Gene YDL025C high -> Gene YMR316C-A high  (3%, 64.2857%)
Gene YMR316C-A high -> Gene YDL025C high  (3%, 29.0323%)
Gene YDL025C high -> Gene YOL064C high  (3%, 64.2857%)
Gene YOL064C high -> Gene YDL025C high  (3%, 28.125%)
Gene YDL025C high -> Gene YML042W high  (3%, 64.2857%)
Gene YML042W high -> Gene YDL025C high  (3%, 56.25%)
Gene YDL025C high -> Gene YBL103C high  (3%, 64.2857%)
Gene YBL103C high -> Gene YDL025C high  (3%, 50%)
Gene YDL025C high -> Gene YKL224C high  (3%, 64.2857%)
Gene YKL224C high -> Gene YDL025C high  (3%, 42.8571%)
Gene YDL025C high -> Gene YBL033C high  (3%, 64.2857%)
Gene YBL033C high -> Gene YDL025C high  (3%, 34.6154%)
Gene YDL025C high -> Gene YGR110W high  (3%, 64.2857%)
Gene YDL025C high -> Gene YMR097C high  (3%, 64.2857%)
Gene YDL025C high -> Gene YPL264C high  (3%, 64.2857%)
Gene YPL264C high -> Gene YDL025C high  (3%, 50%)
Gene YDL025C high -> Gene YDL244W high  (3%, 64.2857%)
Gene YDL244W high -> Gene YDL025C high  (3%, 25%)
Gene YDL025C high -> Gene YER055C high  (3%, 64.2857%)
Gene YER055C high -> Gene YDL025C high  (3%, 42.8571%)
Gene YDL025C high -> Gene YKL151C high  (3%, 64.2857%)
Gene YKL151C high -> Gene YDL025C high  (3%, 31.0345%)
Gene YDL025C high -> Gene YEL060C high  (2.6667%, 57.1429%)
Gene YDL025C high -> Gene YDL085W high  (2.6667%, 57.1429%)
Gene YDL085W high -> Gene YDL025C high  (2.6667%, 40%)
Gene YDL025C high -> Gene YER040W high  (2.6667%, 57.1429%)
Gene YER040W high -> Gene YDL025C high  (2.6667%, 53.3333%)
