Rule   (Support, Confidence) 
Gene YMR095C high -> Gene YMR096W high  (30%, 87.3786%)
Gene YMR096W high -> Gene YMR095C high  (30%, 87.3786%)
Gene YMR094W high -> Gene YMR096W high  (25%, 97.4026%)
Gene YMR094W high -> Gene YMR095C high  (24.3333%, 94.8052%)
Gene YMR094W high -> Gene YMR095C high,Gene YMR096W high  (24%, 93.5065%)
Gene YMR095C high,Gene YMR094W high -> Gene YMR096W high  (24%, 98.6301%)
Gene YMR094W high,Gene YMR096W high -> Gene YMR095C high  (24%, 96%)
Gene YER175C high -> Gene YMR096W high  (23%, 95.8333%)
Gene YER175C high -> Gene YMR095C high  (22.3333%, 93.0556%)
Gene YGL117W high -> Gene YMR096W high  (22%, 98.5075%)
Gene YER175C high -> Gene YMR095C high,Gene YMR096W high  (22%, 91.6667%)
Gene YER175C high,Gene YMR095C high -> Gene YMR096W high  (22%, 98.5075%)
Gene YER175C high,Gene YMR096W high -> Gene YMR095C high  (22%, 95.6522%)
Gene YBR047W high -> Gene YMR096W high  (21.6667%, 91.5493%)
Gene YER175C high -> Gene YMR094W high  (20.6667%, 86.1111%)
Gene YMR094W high -> Gene YER175C high  (20.6667%, 80.5195%)
Gene YHR071W high -> Gene YMR096W high  (20.6667%, 88.5714%)
Gene YER175C high -> Gene YMR094W high,Gene YMR096W high  (20.6667%, 86.1111%)
Gene YMR094W high -> Gene YER175C high,Gene YMR096W high  (20.6667%, 80.5195%)
Gene YER175C high,Gene YMR094W high -> Gene YMR096W high  (20.6667%, 100%)
Gene YER175C high,Gene YMR096W high -> Gene YMR094W high  (20.6667%, 89.8551%)
Gene YMR094W high,Gene YMR096W high -> Gene YER175C high  (20.6667%, 82.6667%)
Gene YPL033C high -> Gene YMR095C high  (20.3333%, 91.0448%)
Gene YBR047W high -> Gene YMR095C high  (20.3333%, 85.9155%)
Gene YJR109C high -> Gene YMR096W high  (20.3333%, 95.3125%)
Gene YER175C high -> Gene YMR095C high,Gene YMR094W high  (20.3333%, 84.7222%)
Gene YER175C high,Gene YMR095C high -> Gene YMR094W high  (20.3333%, 91.0448%)
Gene YER175C high,Gene YMR094W high -> Gene YMR095C high  (20.3333%, 98.3871%)
Gene YMR095C high,Gene YMR094W high -> Gene YER175C high  (20.3333%, 83.5616%)
Gene YER175C high -> Gene YMR095C high,Gene YMR094W high,Gene YMR096W high  (20.3333%, 84.7222%)
Gene YER175C high,Gene YMR095C high -> Gene YMR094W high,Gene YMR096W high  (20.3333%, 91.0448%)
Gene YER175C high,Gene YMR094W high -> Gene YMR095C high,Gene YMR096W high  (20.3333%, 98.3871%)
Gene YER175C high,Gene YMR096W high -> Gene YMR095C high,Gene YMR094W high  (20.3333%, 88.4058%)
Gene YMR095C high,Gene YMR094W high -> Gene YER175C high,Gene YMR096W high  (20.3333%, 83.5616%)
Gene YMR094W high,Gene YMR096W high -> Gene YER175C high,Gene YMR095C high  (20.3333%, 81.3333%)
Gene YER175C high,Gene YMR095C high,Gene YMR094W high -> Gene YMR096W high  (20.3333%, 100%)
Gene YER175C high,Gene YMR095C high,Gene YMR096W high -> Gene YMR094W high  (20.3333%, 92.4242%)
Gene YER175C high,Gene YMR094W high,Gene YMR096W high -> Gene YMR095C high  (20.3333%, 98.3871%)
Gene YMR095C high,Gene YMR094W high,Gene YMR096W high -> Gene YER175C high  (20.3333%, 84.7222%)
Gene YGL117W high -> Gene YMR095C high  (20%, 89.5522%)
Gene YJR109C high -> Gene YMR095C high  (20%, 93.75%)
Gene YOL118C high -> Gene YMR095C high  (20%, 88.2353%)
Gene YGL117W high -> Gene YMR095C high,Gene YMR096W high  (20%, 89.5522%)
Gene YGL117W high,Gene YMR095C high -> Gene YMR096W high  (20%, 100%)
Gene YGL117W high,Gene YMR096W high -> Gene YMR095C high  (20%, 90.9091%)
Gene YJR109C high -> Gene YMR095C high,Gene YMR096W high  (20%, 93.75%)
