Rule   (Support, Confidence) 
Gene SNO1 high -> Gene SNZ1 high  (30%, 87.3786%)
Gene SNZ1 high -> Gene SNO1 high  (30%, 87.3786%)
Gene CTF13,CBF3C high -> Gene SNZ1 high  (25%, 97.4026%)
Gene CTF13,CBF3C high -> Gene SNO1 high  (24.3333%, 94.8052%)
Gene YER175C high -> Gene SNZ1 high  (23%, 95.8333%)
Gene YER175C high -> Gene SNO1 high  (22.3333%, 93.0556%)
Gene YGL117W high -> Gene SNZ1 high  (22%, 98.5075%)
Gene SPL2 low -> Gene PHO84 low  (22%, 89.1892%)
Gene PHO84 low -> Gene SPL2 low  (22%, 83.5443%)
Gene YBR047W high -> Gene SNZ1 high  (21.6667%, 91.5493%)
Gene YER175C high -> Gene CTF13,CBF3C high  (20.6667%, 86.1111%)
Gene CTF13,CBF3C high -> Gene YER175C high  (20.6667%, 80.5195%)
Gene PCL5 high -> Gene SNZ1 high  (20.6667%, 88.5714%)
Gene YPL033C high -> Gene SNO1 high  (20.3333%, 91.0448%)
Gene YBR047W high -> Gene SNO1 high  (20.3333%, 85.9155%)
Gene CPA2 high -> Gene SNZ1 high  (20.3333%, 95.3125%)
Gene YGL117W high -> Gene SNO1 high  (20%, 89.5522%)
Gene CPA2 high -> Gene SNO1 high  (20%, 93.75%)
Gene YOL118C high -> Gene SNO1 high  (20%, 88.2353%)
Gene YGL117W high -> Gene SNO1 high,Gene SNZ1 high  (20%, 89.5522%)
Gene YGL117W high,Gene SNO1 high -> Gene SNZ1 high  (20%, 100%)
Gene YGL117W high,Gene SNZ1 high -> Gene SNO1 high  (20%, 90.9091%)
Gene YPL033C high -> Gene SNZ1 high  (19.6667%, 88.0597%)
Gene YGL117W high -> Gene YER175C high  (19.3333%, 86.5672%)
Gene YER175C high -> Gene YGL117W high  (19.3333%, 80.5556%)
Gene YGL117W high -> Gene CTF13,CBF3C high  (19.3333%, 86.5672%)
Gene PCL5 high -> Gene SNO1 high  (19.3333%, 82.8571%)
Gene YBR047W high -> Gene CTF13,CBF3C high  (19.3333%, 81.6901%)
Gene YHR029C high -> Gene SNZ1 high  (19.3333%, 98.3051%)
Gene YGL117W high -> Gene CTF13,CBF3C high,Gene SNZ1 high  (19.3333%, 86.5672%)
Gene YGL117W high,Gene CTF13,CBF3C high -> Gene SNZ1 high  (19.3333%, 100%)
Gene YGL117W high,Gene SNZ1 high -> Gene CTF13,CBF3C high  (19.3333%, 87.8788%)
Gene LYS1 high -> Gene SNO1 high  (19%, 91.9355%)
Gene YHR029C high -> Gene SNO1 high  (19%, 96.6102%)
Gene PCL5 high -> Gene CTF13,CBF3C high  (19%, 81.4286%)
Gene LYS1 high -> Gene SNZ1 high  (19%, 91.9355%)
Gene YOL118C high -> Gene SNZ1 high  (19%, 83.8235%)
Gene YGL117W high -> Gene YER175C high,Gene SNZ1 high  (19%, 85.0746%)
Gene YGL117W high,Gene YER175C high -> Gene SNZ1 high  (19%, 98.2759%)
Gene YGL117W high,Gene SNZ1 high -> Gene YER175C high  (19%, 86.3636%)
Gene YER175C high,Gene SNZ1 high -> Gene YGL117W high  (19%, 82.6087%)
Gene SRY1 high -> Gene SNZ1 high  (18.6667%, 94.9153%)
Gene CPA2 high -> Gene CTF13,CBF3C high  (18.6667%, 87.5%)
Gene YHR029C high -> Gene CTF13,CBF3C high  (18.6667%, 94.9153%)
Gene YGL117W high -> Gene SNO1 high,Gene CTF13,CBF3C high  (18.6667%, 83.5821%)
Gene YGL117W high,Gene SNO1 high -> Gene CTF13,CBF3C high  (18.6667%, 93.3333%)
Gene YGL117W high,Gene CTF13,CBF3C high -> Gene SNO1 high  (18.6667%, 96.5517%)
Gene ARG5,6 high -> Gene SNZ1 high  (18.3333%, 88.7097%)
Gene BNA1,HAD1 high -> Gene SNZ1 high  (18.3333%, 91.6667%)
Gene YGP1 high -> Gene HSP12,GLP1,HOR5 high  (18.3333%, 90.1639%)
Gene ARG1,ARG10 high -> Gene SNZ1 high  (18.3333%, 90.1639%)
Gene YGL117W high -> Gene PCL5 high  (18%, 80.597%)
Gene YGL117W high -> Gene CPA2 high  (18%, 80.597%)
Gene CPA2 high -> Gene YGL117W high  (18%, 84.375%)
Gene YGL117W high -> Gene LYS1 high  (18%, 80.597%)
Gene LYS1 high -> Gene YGL117W high  (18%, 87.0968%)
Gene YGL117W high -> Gene YBR047W high  (18%, 80.597%)
Gene SRY1 high -> Gene SNO1 high  (18%, 91.5254%)
Gene BNA1,HAD1 high -> Gene SNO1 high  (18%, 90%)
Gene YBR147W high -> Gene SNZ1 high  (18%, 93.1034%)
Gene YGL117W high -> Gene YER175C high,Gene SNO1 high  (18%, 80.597%)
Gene YGL117W high,Gene YER175C high -> Gene SNO1 high  (18%, 93.1034%)
Gene YGL117W high,Gene SNO1 high -> Gene YER175C high  (18%, 90%)
Gene YER175C high,Gene SNO1 high -> Gene YGL117W high  (18%, 80.597%)
Gene YGL117W high -> Gene CPA2 high,Gene SNZ1 high  (18%, 80.597%)
Gene CPA2 high -> Gene YGL117W high,Gene SNZ1 high  (18%, 84.375%)
Gene YGL117W high,Gene CPA2 high -> Gene SNZ1 high  (18%, 100%)
Gene YGL117W high,Gene SNZ1 high -> Gene CPA2 high  (18%, 81.8182%)
Gene CPA2 high,Gene SNZ1 high -> Gene YGL117W high  (18%, 88.5246%)
Gene YGL117W high -> Gene YBR047W high,Gene SNZ1 high  (18%, 80.597%)
Gene YGL117W high,Gene YBR047W high -> Gene SNZ1 high  (18%, 100%)
Gene YGL117W high,Gene SNZ1 high -> Gene YBR047W high  (18%, 81.8182%)
Gene YBR047W high,Gene SNZ1 high -> Gene YGL117W high  (18%, 83.0769%)
Gene SRY1 high -> Gene SNO1 high,Gene SNZ1 high  (18%, 91.5254%)
Gene SRY1 high,Gene SNO1 high -> Gene SNZ1 high  (18%, 100%)
Gene SRY1 high,Gene SNZ1 high -> Gene SNO1 high  (18%, 96.4286%)
Gene YHR029C high -> Gene YGL117W high  (17.6667%, 89.8305%)
Gene CPA2 high -> Gene YER175C high  (17.6667%, 82.8125%)
Gene YHR029C high -> Gene YER175C high  (17.6667%, 89.8305%)
Gene YBR147W high -> Gene SNO1 high  (17.6667%, 91.3793%)
Gene ARG1,ARG10 high -> Gene SNO1 high  (17.6667%, 86.8852%)
Gene ARG1,ARG10 high -> Gene PCL5 high  (17.6667%, 86.8852%)
Gene BNA1,HAD1 high -> Gene CTF13,CBF3C high  (17.6667%, 88.3333%)
Gene BOP2 high -> Gene SNZ1 high  (17.6667%, 96.3636%)
Gene YGL117W high,Gene YER175C high -> Gene CTF13,CBF3C high  (17.6667%, 91.3793%)
Gene YGL117W high,Gene CTF13,CBF3C high -> Gene YER175C high  (17.6667%, 91.3793%)
Gene YER175C high,Gene CTF13,CBF3C high -> Gene YGL117W high  (17.6667%, 85.4839%)
Gene CPA2 high -> Gene YGL117W high,Gene SNO1 high  (17.6667%, 82.8125%)
Gene YGL117W high,Gene SNO1 high -> Gene CPA2 high  (17.6667%, 88.3333%)
Gene YGL117W high,Gene CPA2 high -> Gene SNO1 high  (17.6667%, 98.1481%)
Gene SNO1 high,Gene CPA2 high -> Gene YGL117W high  (17.6667%, 88.3333%)
Gene YGL117W high,Gene PCL5 high -> Gene SNZ1 high  (17.6667%, 98.1481%)
