Rule   (Support, Confidence) 
Gene YMR095C high -> Gene YMR096W high  (30%, 87.3786%)
Gene YMR096W high -> Gene YMR095C high  (30%, 87.3786%)
Gene YMR094W high -> Gene YMR096W high  (25%, 97.4026%)
Gene YMR094W high -> Gene YMR095C high  (24.3333%, 94.8052%)
Gene YER175C high -> Gene YMR096W high  (23%, 95.8333%)
Gene YER175C high -> Gene YMR095C high  (22.3333%, 93.0556%)
Gene YGL117W high -> Gene YMR096W high  (22%, 98.5075%)
Gene YBR047W high -> Gene YMR096W high  (21.6667%, 91.5493%)
Gene YER175C high -> Gene YMR094W high  (20.6667%, 86.1111%)
Gene YMR094W high -> Gene YER175C high  (20.6667%, 80.5195%)
Gene YHR071W high -> Gene YMR096W high  (20.6667%, 88.5714%)
Gene YPL033C high -> Gene YMR095C high  (20.3333%, 91.0448%)
Gene YBR047W high -> Gene YMR095C high  (20.3333%, 85.9155%)
Gene YJR109C high -> Gene YMR096W high  (20.3333%, 95.3125%)
Gene YGL117W high -> Gene YMR095C high  (20%, 89.5522%)
Gene YJR109C high -> Gene YMR095C high  (20%, 93.75%)
Gene YOL118C high -> Gene YMR095C high  (20%, 88.2353%)
Gene YGL117W high -> Gene YMR095C high,Gene YMR096W high  (20%, 89.5522%)
Gene YGL117W high,Gene YMR095C high -> Gene YMR096W high  (20%, 100%)
Gene YGL117W high,Gene YMR096W high -> Gene YMR095C high  (20%, 90.9091%)
Gene YPL033C high -> Gene YMR096W high  (19.6667%, 88.0597%)
Gene YGL117W high -> Gene YER175C high  (19.3333%, 86.5672%)
Gene YER175C high -> Gene YGL117W high  (19.3333%, 80.5556%)
Gene YGL117W high -> Gene YMR094W high  (19.3333%, 86.5672%)
Gene YHR071W high -> Gene YMR095C high  (19.3333%, 82.8571%)
Gene YBR047W high -> Gene YMR094W high  (19.3333%, 81.6901%)
Gene YHR029C high -> Gene YMR096W high  (19.3333%, 98.3051%)
Gene YGL117W high -> Gene YMR094W high,Gene YMR096W high  (19.3333%, 86.5672%)
Gene YGL117W high,Gene YMR094W high -> Gene YMR096W high  (19.3333%, 100%)
Gene YGL117W high,Gene YMR096W high -> Gene YMR094W high  (19.3333%, 87.8788%)
Gene YIR034C high -> Gene YMR095C high  (19%, 91.9355%)
Gene YHR029C high -> Gene YMR095C high  (19%, 96.6102%)
Gene YHR071W high -> Gene YMR094W high  (19%, 81.4286%)
Gene YIR034C high -> Gene YMR096W high  (19%, 91.9355%)
Gene YOL118C high -> Gene YMR096W high  (19%, 83.8235%)
Gene YGL117W high -> Gene YER175C high,Gene YMR096W high  (19%, 85.0746%)
Gene YGL117W high,Gene YER175C high -> Gene YMR096W high  (19%, 98.2759%)
Gene YGL117W high,Gene YMR096W high -> Gene YER175C high  (19%, 86.3636%)
Gene YER175C high,Gene YMR096W high -> Gene YGL117W high  (19%, 82.6087%)
Gene YKL218C high -> Gene YMR096W high  (18.6667%, 94.9153%)
Gene YJR109C high -> Gene YMR094W high  (18.6667%, 87.5%)
Gene YHR029C high -> Gene YMR094W high  (18.6667%, 94.9153%)
Gene YGL117W high -> Gene YMR095C high,Gene YMR094W high  (18.6667%, 83.5821%)
Gene YGL117W high,Gene YMR095C high -> Gene YMR094W high  (18.6667%, 93.3333%)
Gene YGL117W high,Gene YMR094W high -> Gene YMR095C high  (18.6667%, 96.5517%)
Gene YER069W high -> Gene YMR096W high  (18.3333%, 88.7097%)
Gene YJR025C high -> Gene YMR096W high  (18.3333%, 91.6667%)
Gene YNL160W high -> Gene YFL014W high  (18.3333%, 90.1639%)
Gene YOL058W high -> Gene YMR096W high  (18.3333%, 90.1639%)
Gene YGL117W high -> Gene YHR071W high  (18%, 80.597%)
Gene YGL117W high -> Gene YJR109C high  (18%, 80.597%)
Gene YJR109C high -> Gene YGL117W high  (18%, 84.375%)
Gene YGL117W high -> Gene YIR034C high  (18%, 80.597%)
Gene YIR034C high -> Gene YGL117W high  (18%, 87.0968%)
